索引,RSR排名,Probit,RSR拟合值,分档等级
0,1.0,7.069901830895051,0.8497201309483177,3
2,3.0,6.020076232786201,0.594326261842215,3
4,2.0,6.426076872272848,0.6930951186550355,3
1,4.0,5.73631591737613,0.525295134213117,2
3,7.0,5.096558615289639,0.3696596715581001,2
5,6.0,5.2933812321211935,0.41754123372494945,2
6,10.0,4.497597776626645,0.22394887320765122,2
7,9.0,4.7066187678788065,0.2747979664060317,2
8,5.0,5.502402223373355,0.46839032692332994,2
9,8.0,4.903441384710361,0.32267952857288107,2
11,11.0,4.263684082623871,0.16704406591786436,2
10,12.0,3.9799237672137986,0.09801293828876612,1
12,13.0,3.5739231277271526,-0.000755918524054211,1
